DEBUG, 
ITS PER TEST:, 10

MAX SEG LEN: 10
GEN: JITTER + FORK, , , GEN: STREAMER, 
TIME (MS), NUM SEGMENTS, , TIME (MS), NUM SEGMENTS, 
3, 116, , 29, 1086, 
2, 46, , 29, 1084, 
2, 69, , 25, 1111, 
3, 95, , 28, 1066, 
3, 110, , 29, 1095, 

MAX SEG LEN: 3.07
GEN: JITTER + FORK, , , GEN: STREAMER, 
TIME (MS), NUM SEGMENTS, , TIME (MS), NUM SEGMENTS, 
4, 175, , 29, 1124, 
3, 111, , 29, 1138, 
3, 94, , 29, 1126, 
3, 113, , 29, 1085, 
3, 128, , 26, 1096, 
2, 78, , 29, 1101, 
3, 130, , 29, 1147, 
3, 97, , 29, 1095, 
3, 122, , 29, 1148, 
3, 97, , 30, 1108, 

MAX SEG LEN: 2.575
GEN: JITTER + FORK, , , GEN: STREAMER, 
TIME (MS), NUM SEGMENTS, , TIME (MS), NUM SEGMENTS, 
4, 156, , 31, 1244, 
2, 78, , 30, 1185, 
4, 147, , 30, 1170, 
3, 110, , 28, 1100, 
4, 144, , 29, 1141, 
3, 114, , 31, 1144, 
4, 150, , 31, 1195, 
3, 109, , 30, 1152, 
4, 152, , 29, 1117, 
3, 98, , 29, 1152, 

MAX SEG LEN: 2.08
GEN: JITTER + FORK, , , GEN: STREAMER, 
TIME (MS), NUM SEGMENTS, , TIME (MS), NUM SEGMENTS, 
4, 166, , 35, 1278, 
5, 188, , 35, 1238, 
4, 136, , 37, 1421, 
4, 136, , 35, 1291, 
3, 124, , 30, 1168, 
3, 84, , 32, 1312, 
3, 116, , 32, 1246, 
5, 231, , 29, 1136, 
4, 181, , 32, 1347, 
4, 114, , 30, 1182, 

MAX SEG LEN: 1.585
GEN: JITTER + FORK, , , GEN: STREAMER, 
TIME (MS), NUM SEGMENTS, , TIME (MS), NUM SEGMENTS, 
4, 154, , 36, 1360, 
5, 176, , 37, 1414, 
4, 156, , 36, 1233, 
7, 288, , 39, 1535, 
4, 164, , 35, 1291, 
4, 154, , 39, 1313, 
6, 246, , 38, 1361, 
5, 168, , 35, 1300, 
6, 214, , 37, 1402, 
4, 162, , 33, 1378, 

MAX SEG LEN: 1.09
GEN: JITTER + FORK, , , GEN: STREAMER, 
TIME (MS), NUM SEGMENTS, , TIME (MS), NUM SEGMENTS, 
6, 254, , 46, 1845, 
6, 220, , 40, 1501, 
5, 182, , 46, 1886, 
7, 298, , 48, 1800, 
7, 272, , 43, 1720, 
9, 412, , 53, 1947, 
9, 378, , 42, 1691, 
7, 276, , 51, 1891, 
9, 382, , 52, 1900, 
5, 198, , 48, 1802, 

MAX SEG LEN: 0.595002
GEN: JITTER + FORK, , , GEN: STREAMER, 
TIME (MS), NUM SEGMENTS, , TIME (MS), NUM SEGMENTS, 
15, 704, , 76, 3042, 
9, 370, , 85, 3369, 
14, 582, , 86, 3201, 
13, 558, , 105, 3905, 
10, 378, , 83, 3063, 
13, 538, , 83, 3005, 
15, 622, , 92, 3438, 
9, 314, , 86, 3053, 
13, 536, , 85, 3113, 
14, 602, , 95, 3851, 

