DEBUG, 
ITS PER TEST:, 10

NUM LAYERS, TIME (MS), NUM SEGMENTS, 
1, 0, 1, 
2, 0, 3, 
3, 0, 7, 
4, 0, 15, 
5, 0, 31, 
6, 0.2, 63, 
7, 1.1, 127, 
8, 2.1, 255, 
9, 5, 511, 
10, 11.1, 1023, 
11, 22.3, 2047, 
12, 45.9, 4095, 
13, 93.6, 8191, 
14, 185.7, 16383, 
15, 372.5, 32767, 
