SEG NUM, PARENT, CHILDREN, STATUS, DIAMETER, START X, START Y, START X, END X, END Y, END Z, LENGTH, ENERGY, VELOCITY, DIST FROM ROOT, FARTHEST DIST FROM ROOT, 
34, 30, NO CHILDREN, PRIMARY, 0.0780929, -15.0765, 52.4724, -3.77242, -14.987, 52.2796, -3.59807, 0.274923, 25969.6, 0.00304925, 0, 0, 
35, 28, pr: 37 pr: 38 , PRIMARY, 0.114449, -13.3735, 52.7881, -3.70898, -13.5459, 51.6736, -2.48718, 1.66274, 166274, 0.00654932, 0, 0, 
36, 28, pr: 39 pr: 40 , PRIMARY, 0.126975, -13.3735, 52.7881, -3.70898, -13.26, 51.5774, -2.49078, 1.72126, 123077, 0.00806137, 0, 0, 
37, 35, NO CHILDREN, PRIMARY, 0.0783435, -13.5459, 51.6736, -2.48718, -13.9828, 51.1967, -1.53236, 1.15321, 115321, 0.00306885, 0, 0, 
38, 35, NO CHILDREN, PRIMARY, 0.0879158, -13.5459, 51.6736, -2.48718, -13.8772, 51.1887, -1.92415, 0.813534, 70600.1, 0.0038646, 0, 0, 
39, 36, NO CHILDREN, PRIMARY, 0.0691137, -13.26, 51.5774, -2.49078, -13.6946, 50.7717, -1.87305, 1.10435, 110435, 0.00238835, 0, 0, 
40, 36, NO CHILDREN, PRIMARY, 0.0891122, -13.26, 51.5774, -2.49078, -12.9607, 50.878, -1.80348, 1.02523, 83592.9, 0.00397049, 0, 0, 
41, 10, pr: 43 pr: 44 , PRIMARY, 0.202948, -7.06803, 57.8649, -8.96881, -7.98139, 56.5315, -9.61637, 1.74115, 174115, 0.020594, 0, 0, 
42, 10, pr: 57 pr: 58 , PRIMARY, 0.218062, -7.06803, 57.8649, -8.96881, -4.95167, 53.6615, -11.21, 5.21255, 508646, 0.0237755, 0, 0, 
43, 41, pr: 45 pr: 46 , PRIMARY, 0.114201, -7.98139, 56.5315, -9.61637, -8.45314, 55.7606, -10.4447, 1.22594, 122594, 0.0065209, 0, 0, 
44, 41, pr: 51 pr: 52 , PRIMARY, 0.160679, -7.98139, 56.5315, -9.61637, -7.88048, 56.37, -9.78001, 0.251045, 32130.3, 0.0129089, 0, 0, 
45, 43, pr: 47 pr: 48 , PRIMARY, 0.119537, -8.45314, 55.7606, -10.4447, -8.74478, 55.2723, -11.5084, 1.20616, 120616, 0.00714457, 0, 0, 
46, 43, pr: 49 pr: 50 , PRIMARY, 0.12293, -8.45314, 55.7606, -10.4447, -9.26598, 55.282, -10.9973, 1.09323, 99449.3, 0.00755588, 0, 0, 
47, 45, NO CHILDREN, PRIMARY, 0.0787609, -8.74478, 55.2723, -11.5084, -8.75081, 54.9127, -12.3461, 0.911674, 91167.4, 0.00310164, 0, 0, 
48, 45, NO CHILDREN, PRIMARY, 0.0698297, -8.74478, 55.2723, -11.5084, -9.05421, 54.5404, -12.4763, 1.25231, 101712, 0.00243809, 0, 0, 
49, 46, NO CHILDREN, PRIMARY, 0.0651195, -9.26598, 55.282, -10.9973, -9.5599, 54.7288, -11.7148, 0.95248, 95248, 0.00212028, 0, 0, 
50, 46, NO CHILDREN, PRIMARY, 0.0825255, -9.26598, 55.282, -10.9973, -8.88333, 54.8, -11.6951, 0.930342, 124119, 0.00340523, 0, 0, 
51, 44, pr: 53 pr: 54 , PRIMARY, 0.109322, -7.88048, 56.37, -9.78001, -7.10162, 55.9004, -10.4198, 1.11198, 111198, 0.0059757, 0, 0, 
52, 44, pr: 55 pr: 56 , PRIMARY, 0.12068, -7.88048, 56.37, -9.78001, -8.00359, 55.6948, -10.8927, 1.30738, 118810, 0.00728178, 0, 0, 
53, 51, NO CHILDREN, PRIMARY, 0.081338, -7.10162, 55.9004, -10.4198, -6.56988, 55.7619, -10.8833, 0.718886, 71888.6, 0.00330793, 0, 0, 
54, 51, NO CHILDREN, PRIMARY, 0.0663625, -7.10162, 55.9004, -10.4198, -6.76216, 55.8115, -10.5383, 0.370376, 50361.7, 0.00220199, 0, 0, 
55, 52, NO CHILDREN, PRIMARY, 0.0675543, -8.00359, 55.6948, -10.8927, -7.8548, 55.2203, -11.4012, 0.71118, 71117.8, 0.00228179, 0, 0, 
56, 52, NO CHILDREN, PRIMARY, 0.0920191, -8.00359, 55.6948, -10.8927, -8.3661, 54.7418, -11.8953, 1.43, 107740, 0.00423376, 0, 0, 
57, 42, pr: 59 pr: 60 , PRIMARY, 0.176629, -4.95167, 53.6615, -11.21, -4.81241, 52.896, -11.7225, 0.931643, 93164.2, 0.0155989, 0, 0, 
58, 42, pr: 65 pr: 66 , PRIMARY, 0.150996, -4.95167, 53.6615, -11.21, -4.90869, 52.6159, -12.1562, 1.41076, 106272, 0.0113999, 0, 0, 
59, 57, pr: 61 pr: 62 , PRIMARY, 0.132784, -4.81241, 52.896, -11.7225, -4.65258, 51.8823, -13.3396, 1.91521, 191521, 0.00881578, 0, 0, 
60, 57, pr: 63 pr: 64 , PRIMARY, 0.106287, -4.81241, 52.896, -11.7225, -5.11502, 52.4469, -12.3151, 0.802762, 69177.5, 0.00564844, 0, 0, 
61, 59, NO CHILDREN, PRIMARY, 0.0770697, -4.65258, 51.8823, -13.3396, -4.82413, 51.184, -14.0374, 1.00204, 100204, 0.00296987, 0, 0, 
62, 59, NO CHILDREN, PRIMARY, 0.0896921, -4.65258, 51.8823, -13.3396, -4.44514, 51.0527, -14.1846, 1.20226, 92532.2, 0.00402233, 0, 0, 
63, 60, NO CHILDREN, PRIMARY, 0.0739065, -5.11502, 52.4469, -12.3151, -5.15436, 52.2427, -12.7336, 0.467366, 46736.7, 0.00273109, 0, 0, 
64, 60, NO CHILDREN, PRIMARY, 0.0843006, -5.11502, 52.4469, -12.3151, -5.04412, 51.9922, -12.864, 0.716304, 55505.1, 0.0035533, 0, 0, 
