ITS PER TEST:, 100

LAYERS:, 1
TIME (MS), SEGMENTS, 
33, 1023, 
35, 1023, 
35, 1023, 
34, 1023, 
33, 1023, 
33, 1023, 
33, 1023, 
34, 1023, 
34, 1023, 
34, 1023, 
33, 1023, 
33, 1023, 
33, 1023, 
34, 1023, 

LAYERS:, 11
TIME (MS), SEGMENTS, 
59, 2047, 
67, 2047, 
67, 2047, 
70, 2047, 
68, 2047, 
68, 2047, 
70, 2047, 
67, 2047, 
68, 2047, 
68, 2047, 
67, 2047, 
67, 2047, 
70, 2047, 
67, 2047, 
67, 2047, 
69, 2047, 
67, 2047, 
67, 2047, 
69, 2047, 
67, 2047, 
67, 2047, 
68, 2047, 
67, 2047, 
67, 2047, 
68, 2047, 
67, 2047, 
69, 2047, 
69, 2047, 
67, 2047, 
68, 2047, 
68, 2047, 
67, 2047, 
69, 2047, 
68, 2047, 
67, 2047, 
67, 2047, 
67, 2047, 
67, 2047, 
67, 2047, 
68, 2047, 
67, 2047, 
68, 2047, 
67, 2047, 
67, 2047, 
68, 2047, 
68, 2047, 
68, 2047, 
68, 2047, 
68, 2047, 
68, 2047, 
70, 2047, 
68, 2047, 
67, 2047, 
70, 2047, 
69, 2047, 
67, 2047, 
68, 2047, 
68, 2047, 
67, 2047, 
67, 2047, 
67, 2047, 
67, 2047, 
67, 2047, 
67, 2047, 
68, 2047, 
69, 2047, 
68, 2047, 
68, 2047, 
68, 2047, 
70, 2047, 
67, 2047, 
70, 2047, 
67, 2047, 
67, 2047, 
70, 2047, 
69, 2047, 
68, 2047, 
69, 2047, 
68, 2047, 
68, 2047, 
69, 2047, 
67, 2047, 
67, 2047, 
68, 2047, 
67, 2047, 
67, 2047, 
69, 2047, 
67, 2047, 
67, 2047, 
69, 2047, 
68, 2047, 
67, 2047, 
71, 2047, 
68, 2047, 
67, 2047, 
70, 2047, 
68, 2047, 
67, 2047, 
68, 2047, 
67, 2047, 

LAYERS:, 12
TIME (MS), SEGMENTS, 
117, 4095, 
136, 4095, 
137, 4095, 
136, 4095, 
136, 4095, 
139, 4095, 
137, 4095, 
138, 4095, 
138, 4095, 
136, 4095, 
138, 4095, 
135, 4095, 
136, 4095, 
136, 4095, 
137, 4095, 
137, 4095, 
148, 4095, 
136, 4095, 
136, 4095, 
136, 4095, 
136, 4095, 
137, 4095, 
136, 4095, 
136, 4095, 
136, 4095, 
135, 4095, 
136, 4095, 
136, 4095, 
135, 4095, 
136, 4095, 
135, 4095, 
135, 4095, 
136, 4095, 
135, 4095, 
135, 4095, 
137, 4095, 
136, 4095, 
138, 4095, 
138, 4095, 
135, 4095, 
136, 4095, 
135, 4095, 
136, 4095, 
135, 4095, 
136, 4095, 
138, 4095, 
135, 4095, 
136, 4095, 
139, 4095, 
137, 4095, 
135, 4095, 
136, 4095, 
137, 4095, 
140, 4095, 
136, 4095, 
136, 4095, 
138, 4095, 
137, 4095, 
136, 4095, 
137, 4095, 
138, 4095, 
141, 4095, 
141, 4095, 
139, 4095, 
135, 4095, 
140, 4095, 
137, 4095, 
136, 4095, 
137, 4095, 
136, 4095, 
135, 4095, 
136, 4095, 
136, 4095, 
136, 4095, 
138, 4095, 
138, 4095, 
135, 4095, 
135, 4095, 
137, 4095, 
136, 4095, 
137, 4095, 
136, 4095, 
137, 4095, 
138, 4095, 
137, 4095, 
135, 4095, 
136, 4095, 
137, 4095, 
136, 4095, 
136, 4095, 
137, 4095, 
139, 4095, 
136, 4095, 
136, 4095, 
135, 4095, 
135, 4095, 
140, 4095, 
135, 4095, 
136, 4095, 
137, 4095, 

LAYERS:, 13
TIME (MS), SEGMENTS, 
237, 8191, 
273, 8191, 
275, 8191, 
274, 8191, 
277, 8191, 
276, 8191, 
273, 8191, 
282, 8191, 
273, 8191, 
283, 8191, 
281, 8191, 
279, 8191, 
281, 8191, 
278, 8191, 
280, 8191, 
279, 8191, 
275, 8191, 
274, 8191, 
274, 8191, 
273, 8191, 
276, 8191, 
278, 8191, 
274, 8191, 
274, 8191, 
277, 8191, 
273, 8191, 
274, 8191, 
282, 8191, 
274, 8191, 
278, 8191, 
274, 8191, 
284, 8191, 
283, 8191, 
275, 8191, 
273, 8191, 
273, 8191, 
273, 8191, 
275, 8191, 
275, 8191, 
277, 8191, 
276, 8191, 
277, 8191, 
275, 8191, 
283, 8191, 
275, 8191, 
274, 8191, 
282, 8191, 
276, 8191, 
281, 8191, 
287, 8191, 
275, 8191, 
275, 8191, 
278, 8191, 
274, 8191, 
275, 8191, 
275, 8191, 
275, 8191, 
273, 8191, 
275, 8191, 
274, 8191, 
274, 8191, 
273, 8191, 
277, 8191, 
274, 8191, 
278, 8191, 
285, 8191, 
278, 8191, 
275, 8191, 
277, 8191, 
275, 8191, 
275, 8191, 
275, 8191, 
280, 8191, 
273, 8191, 
275, 8191, 
275, 8191, 
277, 8191, 
275, 8191, 
276, 8191, 
276, 8191, 
282, 8191, 
275, 8191, 
276, 8191, 
277, 8191, 
274, 8191, 
276, 8191, 
273, 8191, 
273, 8191, 
273, 8191, 
275, 8191, 
277, 8191, 
276, 8191, 
284, 8191, 
274
