SEG NUM, PARENT, CHILDREN, START X, START Y, START X, END X, END Y, END Z, DIST 2 ROOT, MAX DIST 2 ROOT, 
53, 45, pr: 56 pr: 57 , -7.14638, 64.4945, -5.81859, -6.55434, 63.9965, -5.75702, 0, 0, 
54, 52, NO CHILDREN, -7.02224, 64.3243, -6.11547, -6.75096, 64.0929, -6.30698, 0, 0, 
55, 52, NO CHILDREN, -7.02224, 64.3243, -6.11547, -6.8338, 64.3377, -6.40342, 0, 0, 
56, 53, NO CHILDREN, -6.55434, 63.9965, -5.75702, -6.21051, 63.4517, -6.08973, 0, 0, 
57, 53, NO CHILDREN, -6.55434, 63.9965, -5.75702, -5.65617, 63.7006, -5.95865, 0, 0, 
58, 43, pr: 60 pr: 61 , -6.38467, 66.9118, -4.73604, -5.53275, 66.6977, -3.67188, 0, 0, 
59, 43, pr: 66 pr: 67 , -6.38467, 66.9118, -4.73604, -5.48754, 66.8766, -3.91827, 0, 0, 
60, 58, pr: 62 pr: 63 , -5.53275, 66.6977, -3.67188, -5.20628, 66.1799, -3.35027, 0, 0, 
61, 58, pr: 64 pr: 65 , -5.53275, 66.6977, -3.67188, -5.19323, 66.8583, -3.45952, 0, 0, 
62, 60, NO CHILDREN, -5.20628, 66.1799, -3.35027, -4.84965, 66.0357, -3.0924, 0, 0, 
63, 60, NO CHILDREN, -5.20628, 66.1799, -3.35027, -5.24509, 65.8489, -3.13654, 0, 0, 
64, 61, NO CHILDREN, -5.19323, 66.8583, -3.45952, -4.82588, 66.7869, -2.86501, 0, 0, 
65, 61, NO CHILDREN, -5.19323, 66.8583, -3.45952, -4.90003, 66.7866, -3.37763, 0, 0, 
66, 59, pr: 68 pr: 69 , -5.48754, 66.8766, -3.91827, -5.3077, 67.0163, -3.60872, 0, 0, 
67, 59, pr: 70 pr: 71 , -5.48754, 66.8766, -3.91827, -5.60126, 66.9883, -4.00025, 0, 0, 
68, 66, NO CHILDREN, -5.3077, 67.0163, -3.60872, -5.23765, 66.9515, -3.20089, 0, 0, 
69, 66, NO CHILDREN, -5.3077, 67.0163, -3.60872, -5.12406, 67.3903, -3.38335, 0, 0, 
70, 67, NO CHILDREN, -5.60126, 66.9883, -4.00025, -6.20304, 67.182, -4.02883, 0, 0, 
71, 67, NO CHILDREN, -5.60126, 66.9883, -4.00025, -5.71841, 67.3378, -4.04902, 0, 0, 
72, 9, pr: 74 pr: 75 , -10.9125, 67.5864, -3.09844, -12.9715, 65.7819, -3.71776, 0, 0, 
73, 9, pr: 104 pr: 105 , -10.9125, 67.5864, -3.09844, -11.8233, 66.3895, -3.49222, 0, 0, 
74, 72, pr: 76 pr: 77 , -12.9715, 65.7819, -3.71776, -13.1606, 64.8963, -3.75077, 0, 0, 
75, 72, pr: 90 pr: 91 , -12.9715, 65.7819, -3.71776, -13.6793, 64.2875, -3.13352, 0, 0, 
76, 74, pr: 78 pr: 79 , -13.1606, 64.8963, -3.75077, -12.6887, 63.3361, -4.34818, 0, 0, 
77, 74, pr: 84 pr: 85 , -13.1606, 64.8963, -3.75077, -13.1136, 64.6536, -3.65744, 0, 0, 
78, 76, pr: 80 pr: 81 , -12.6887, 63.3361, -4.34818, -12.6605, 62.6354, -5.18682, 0, 0, 
79, 76, pr: 82 pr: 83 , -12.6887, 63.3361, -4.34818, -12.7576, 63.0087, -4.53757, 0, 0, 
80, 78, NO CHILDREN, -12.6605, 62.6354, -5.18682, -12.3565, 62.3641, -5.79447, 0, 0, 
81, 78, NO CHILDREN, -12.6605, 62.6354, -5.18682, -12.4109, 62.5264, -5.54956, 0, 0, 
